category,brand,model_name,price_vnd,image_url,inventory_status
Laptop,HP,HP 15 fd1487TU Ultra 5 125H (D0BH4PA),22490000,/images/products/hp_hp-15-fd1487tu-ultra-5-125h-d0bh4pa.jpg,Còn hàng
Laptop,Asus,Asus ZenBook 14 UX3405CA Ultra 5 225H (ST628W),29590000,/images/products/asus_asus-zenbook-14-ux3405ca-ultra-5-225h-st628w.jpg,Còn hàng
Laptop,HP,HP OmniBook 5 AI 16 af1048TU Ultra 5 225U (BZ7Q9PA),25990000,/images/products/hp_hp-omnibook-5-ai-16-af1048tu-ultra-5-225u-bz7q9pa.jpg,Còn hàng
Laptop,Acer,Acer Gaming Aspire 5 A515 58GM 598J i5 13420H (NX.KW1SV.002),20290000,/images/products/acer_acer-gaming-aspire-5-a515-58gm-598j-i5-13420h-nxkw1sv002.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i7 1355U (71073959),23990000,/images/products/dell_dell-15-dc15250-i7-1355u-71073959.jpg,Còn hàng
Laptop,Dell,Dell Inspiron 14 5440 i5 1334U (NDY5V1),21490000,/images/products/dell_dell-inspiron-14-5440-i5-1334u-ndy5v1.jpg,Còn hàng
Laptop,Acer,Acer Aspire 16 AI A16 71M 59L5 Ultra 5 125H (NX.J4YSV.001),18990000,/images/products/acer_acer-aspire-16-ai-a16-71m-59l5-ultra-5-125h-nxj4ysv001.jpg,Còn hàng
Laptop,Lenovo,Lenovo Gaming LOQ 15ARP9 R5 7235HS (83JC00LVVN),24990000,/images/products/lenovo_lenovo-gaming-loq-15arp9-r5-7235hs-83jc00lvvn.jpg,Còn hàng
Laptop,Asus,Asus TUF Gaming FX607VU Core 5 210H (RL045W),27890000,/images/products/asus_asus-tuf-gaming-fx607vu-core-5-210h-rl045w.jpg,Còn hàng
Laptop,HP,HP 240R G9 Core 5 120U (C40M2AT),18990000,/images/products/hp_hp-240r-g9-core-5-120u-c40m2at.jpg,Còn hàng
